fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender
Felice IPPOLITO,1629,Italy,Communist and Allies Group,None,Indipendenti Di Sinistra,1979-1984,07-1979,male
Silvio LEGA,792,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1979-1984,07-1979,male
Silvio LEONARDI,270,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1979-1984,07-1979,male
Pietro LEZZI,312,Italy,Socialist Group,None,Partito Socialista Italiano,1979-1984,07-1979,male
Giosuè LIGIOS,1605,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1979-1984,07-1979,male
Salvatore LIMA,991,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1979-1984,07-1979,male
Luigi MACARIO,776,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1979-1984,07-1979,male
Maria Antonietta MACCIOCCHI,741,Italy,Group for the Technical Coordination and Defence of Independent Groups and Members,Socialist Group ,Partito Radicale,1979-1984,09-1979,female
Marcello MODIANO,769,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1979-1984,07-1979,male
Angelo NARDUCCI,760,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1979-1984,07-1979,male
Flavio ORLANDI,755,Italy,Socialist Group,None,Partito Socialista Democratico Italiano,1979-1984,07-1979,male
Giancarlo PAJETTA,1557,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1979-1984,07-1979,male
Marco PANNELLA,1002,Italy,Group for the Technical Coordination and Defence of Independent Groups and Members,None,Partito Radicale,1979-1984,07-1979,male
Giovanni PAPAPIETRO,1555,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1979-1984,07-1979,male
Mario PEDINI,726,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1979-1984,07-1979,male
Jiri PELIKAN,1552,Italy,Socialist Group,None,Partito Socialista Italiano,1979-1984,07-1979,male
Francesco PETRONIO,1550,Italy,Non-attached Members,None,Movimento Sociale Italiano - Destra Nazionale,1979-1984,07-1979,male
Flaminio PICCOLI,740,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1979-1984,07-1979,male
Sergio PININFARINA,1544,Italy,Liberal and Democratic Group,None,Partito Liberale Italiano,1979-1984,07-1979,male
Ruggero PULETTI,728,Italy,Socialist Group,None,Partito Socialista Democratico Italiano,1979-1984,07-1979,male
Carlo RIPA DI MEANA,717,Italy,Socialist Group,None,Partito Socialista Italiano,1979-1984,07-1979,male
Pino ROMUALDI,1727,Italy,Non-attached Members,None,Movimento Sociale Italiano - Destra Nazionale,1979-1984,07-1979,male
Giorgio RUFFOLO,714,Italy,Socialist Group,None,Partito Socialista Italiano,1979-1984,07-1979,male
Mariano RUMOR,715,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1979-1984,07-1979,male
Mario SASSANO,706,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1979-1984,07-1979,male
Leonardo SCIASCIA,697,Italy,Group for the Technical Coordination and Defence of Independent Groups and Members,None,Partito Radicale,1979-1984,07-1979,male
Sergio Camillo SEGRE,1515,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1979-1984,07-1979,male
Altiero SPINELLI,1643,Italy,Communist and Allies Group,None,Indipendenti Di Sinistra,1979-1984,07-1979,male
Vera SQUARCIALUPI,1501,Italy,Communist and Allies Group,None,Indipendenti Di Sinistra,1979-1984,07-1979,female
Carlo STELLA,685,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1979-1984,01-1982,male
Giorgio STREHLER,686,Italy,Socialist Group,None,Partito Socialista Italiano,1979-1984,09-1983,male
Giovanni TRAVAGLINI,682,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1979-1984,07-1979,male
Protogene VERONESI,654,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1979-1984,07-1979,male
Bruno VISENTINI,1082,Italy,Liberal and Democratic Group,None,Partito Repubblicano Italiano,1979-1984,07-1979,male
Giuseppe VITALE,656,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1979-1984,06-1980,male
Benigno ZACCAGNINI,663,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1979-1984,07-1979,male
Mario ZAGARI,1480,Italy,Socialist Group,None,Partito Socialista Italiano,1979-1984,07-1979,male
Ortensio ZECCHINO,665,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1979-1984,07-1979,male
Giorgio ALMIRANTE,1478,Italy,Group of the European Right,None,Movimento Sociale Italiano - Destra Nazionale,1984-1989,07-1984,male
Giuseppe AMADEI,1790,Italy,Socialist Group,None,Partito Socialista Democratico Italiano,1984-1989,07-1984,male
Ettore Giovanni ANDENNA,1828,Italy,Socialist Group,None,Partito Socialista Democratico Italiano,1984-1989,02-1987,male
Dario ANTONIOZZI,1789,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1984-1989,07-1984,male
Gianni BAGET BOZZO,1093,Italy,Socialist Group,None,Partito Socialista Italiano,1984-1989,07-1984,male
Carla BARBARELLA,1773,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1984-1989,07-1984,female
Roberto BARZANTI,1135,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1984-1989,07-1984,male
Giovanni BERSANI,1781,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1984-1989,07-1984,male
Vincenzo BETTIZA,977,Italy,Liberal and Democratic Group,Liberal and Democratic Reformist Group ,Partito Liberale Italiano,1984-1989,07-1984,male
Aldo BONACCINI,1770,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1984-1989,07-1984,male
Emma BONINO,1566,Italy,Non-attached Members,None,Partito Radicale,1984-1989,07-1984,female
Margherita BONIVER,1816,Italy,Socialist Group,None,Partito Socialista Italiano,1984-1989,09-1987,female
Franco BORGO,1012,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1984-1989,07-1984,male
Antonino BUTTAFUOCO,1764,Italy,Group of the European Right,None,Movimento Sociale Italiano - Destra Nazionale,1984-1989,07-1984,male
Antonio Nicola CANTALAMESSA,1812,Italy,Group of the European Right,None,Movimento Sociale Italiano - Destra Nazionale,1984-1989,09-1988,male
Angelo CAROSSINO,1730,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1984-1989,07-1984,male
Carlo CASINI,988,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1984-1989,07-1984,male
Maria Luisa CASSANMAGNAGO CERRETTI,949,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1984-1989,07-1984,female
Luciana CASTELLINA,947,Italy,Rainbow Group,Communist and Allies Group ,Partito Comunista Italiano,1984-1989,07-1984,female
Marco CELLAI,1809,Italy,Group of the European Right,None,Movimento Sociale Italiano - Destra Nazionale,1984-1989,10-1988,male
Giovanni CERVETTI,1811,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1984-1989,07-1984,male
Mauro CHIABRANDO,1014,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1984-1989,07-1984,male
Vittorino CHIUSANO,1808,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1984-1989,07-1984,male
Michelangelo CIANCAGLINI,1753,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1984-1989,07-1984,male
Roberto CICCIOMESSERE,1806,Italy,Non-attached Members,Technical Coordination and Defence of Independent Groups and Members ,Partito Radicale,1984-1989,09-1984,male
Maria Lisa CINCIARI RODANO,1705,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1984-1989,07-1984,female
Michele COLUMBU,1799,Italy,Rainbow Group,None,Unione Valdostana - Partito Sardo D'Azione,1984-1989,07-1984,female
Francesco COMPASSO,1800,Italy,Liberal and Democratic Reformist Group,None,Partito Liberale Italiano,1984-1989,04-1987,male
Roberto COSTANZO,1720,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1984-1989,07-1984,male
Joachim DALSASS,1087,Italy,Group of the European People's Party (Christian,None,Südtiroler Volkspartei,1984-1989,07-1984,male
Antonio DEL DUCA,893,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1984-1989,05-1988,male
Luigi Ciriaco DE MITA,1746,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1984-1989,07-1984,male
Pancrazio DE PASQUALE,1704,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1984-1989,07-1984,male
Mario DI BARTOLOMEI,1698,Italy,Liberal and Democratic Group,Liberal and Democratic Reformist Group ,Partito Repubblicano Italiano,1984-1989,07-1984,male
Mario DIDO',1699,Italy,Socialist Group,None,Partito Socialista Italiano,1984-1989,07-1984,male
Sergio ERCINI,1683,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1984-1989,07-1984,male
Guido FANTI,1681,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1984-1989,07-1984,male
Bruno FERRERO,1675,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1984-1989,01-1988,male
Roberto FORMIGONI,1110,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1984-1989,07-1984,male
Gerardo GAIBISSO,1009,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1984-1989,07-1984,male
Carlo Alberto GALLUZZI,1652,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1984-1989,07-1984,male
Natalino GATTI,1666,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1984-1989,07-1984,male
Jas GAWRONSKI,1113,Italy,Liberal and Democratic Group,Liberal and Democratic Reformist Group ,Partito Repubblicano Italiano,1984-1989,07-1984,male
Giovanni GIAVAZZI,1646,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1984-1989,07-1984,male
Vincenzo GIUMMARRA,1647,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1984-1989,07-1984,male
Carlo Alberto GRAZIANI,1657,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1984-1989,06-1986,male
Anselmo GUARRACI,1655,Italy,Socialist Group,None,Partito Socialista Italiano,1984-1989,07-1984,male
Antonio IODICE,969,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1984-1989,07-1984,male
Felice IPPOLITO,1629,Italy,Communist and Allies Group,Liberal and Democratic Reformist Group ,Indipendenti Di Sinistra,1984-1989,07-1984,male
Giosuè LIGIOS,1605,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1984-1989,07-1984,male
Salvatore LIMA,991,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1984-1989,07-1984,male
Giulio MACERATINI,1726,Italy,Group of the European Right,None,Movimento Sociale Italiano - Destra Nazionale,1984-1989,06-1988,male
Francesca MARINARO,1597,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1984-1989,07-1984,female
Claudio MARTELLI,1602,Italy,Socialist Group,None,Partito Socialista Italiano,1984-1989,07-1984,male
Renato MASSARI,1793,Italy,Socialist Group,None,Partito Socialista Democratico Italiano,1984-1989,07-1984,male
Vincenzo MATTINA,1011,Italy,Socialist Group,None,Partito Socialista Italiano,1984-1989,07-1984,male
Alberto MICHELINI,971,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1984-1989,07-1984,male
Alfeo MIZZAU,1595,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1984-1989,07-1984,male
Emilio MOLINARI,1615,Italy,Rainbow Group,None,Democrazia Proletaria,1984-1989,07-1984,male
Alberto MORAVIA,1596,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1984-1989,07-1984,male
Giovanni MORONI,1594,Italy,Socialist Group,None,Partito Socialista Democratico Italiano,1984-1989,07-1984,male
Alessandro NATTA,1582,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1984-1989,07-1984,male
Giovanni NEGRI,1579,Italy,Non-attached Members,None,Partito Radicale,1984-1989,04-1988,male
Diego NOVELLI,1674,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1984-1989,07-1984,male
Giancarlo PAJETTA,1557,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1984-1989,07-1984,male
Marco PANNELLA,1002,Italy,Non-attached Members,Technical Coordination and Defence of Independent Groups and Members ,Partito Radicale,1984-1989,07-1984,male
Giovanni PAPAPIETRO,1555,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1984-1989,07-1984,male
Eolo PARODI,233,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1984-1989,07-1984,male
Jiri PELIKAN,1552,Italy,Socialist Group,None,Partito Socialista Italiano,1984-1989,07-1984,male
Francesco PETRONIO,1550,Italy,Group of the European Right,None,Movimento Sociale Italiano - Destra Nazionale,1984-1989,07-1984,male
Sergio PININFARINA,1544,Italy,Liberal and Democratic Group,Liberal and Democratic Reformist Group ,Partito Liberale Italiano,1984-1989,07-1984,male
Ferruccio PISONI,1003,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1984-1989,07-1984,male
Nino PISONI,983,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1984-1989,07-1984,male
Mario POMILIO,1559,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1984-1989,07-1984,male
Andrea RAGGIO,1004,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1984-1989,07-1984,female
Alfredo REICHLIN,1532,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1984-1989,07-1984,male
Mario RIGO,1536,Italy,Socialist Group,None,Partito Socialista Italiano,1984-1989,07-1984,male
Rosario ROMEO,1718,Italy,Liberal and Democratic Group,Liberal and Democratic Reformist Group ,Partito Repubblicano Italiano,1984-1989,07-1984,male
Pino ROMUALDI,1727,Italy,Group of the European Right,None,Movimento Sociale Italiano - Destra Nazionale,1984-1989,07-1984,male
Giorgio ROSSETTI,1006,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1984-1989,07-1984,male
Tommaso ROSSI,1531,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1984-1989,01-1985,male
Giuseppe SCHIAVINATO,1525,Italy,Liberal and Democratic Reformist Group,None,Partito Repubblicano Italiano,1984-1989,07-1988,male
Sergio Camillo SEGRE,1515,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1984-1989,07-1984,male
Gustavo SELVA,1524,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1984-1989,07-1984,male
Altiero SPINELLI,1643,Italy,Communist and Allies Group,None,Indipendenti Di Sinistra,1984-1989,07-1984,male
Vera SQUARCIALUPI,1501,Italy,Communist and Allies Group,None,Indipendenti Di Sinistra,1984-1989,07-1984,female
Giovanni STARITA,1523,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1984-1989,07-1984,male
Carlo TOGNOLI,1771,Italy,Socialist Group,None,Partito Socialista Italiano,1984-1989,07-1984,male
Enzo TORTORA,1724,Italy,Non-attached Members,None,Partito Radicale,1984-1989,07-1984,male
Giovanni TRAVAGLINI,682,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1984-1989,06-1988,male
Alberto TRIDENTE,1507,Italy,Rainbow Group,None,Democrazia Proletaria,1984-1989,09-1985,male
Antonino TRIPODI,1729,Italy,Group of the European Right,None,Movimento Sociale Italiano - Destra Nazionale,1984-1989,07-1984,male
Renzo TRIVELLI,1081,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1984-1989,07-1984,male
Osvalda TRUPIA,1497,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1984-1989,07-1984,female
Maurizio VALENZI,1495,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1984-1989,07-1984,male
Silvio VITALE,1479,Italy,Group of the European Right,None,Movimento Sociale Italiano - Destra Nazionale,1984-1989,06-1988,male
Mario ZAGARI,1480,Italy,Socialist Group,None,Partito Socialista Italiano,1984-1989,07-1984,male
Maria Adelaide AGLIETTA,1114,Italy,The Green Group in the European Parliament,None,Verdi Arcobaleno,1989-1994,07-1989,female
Gianfranco AMENDOLA,1134,Italy,The Green Group in the European Parliament,None,Verdi Europa,1989-1994,07-1989,male
Gianni BAGET BOZZO,1093,Italy,Socialist Group,Group of the Party of European Socialists,Partito Socialista Italiano,1989-1994,07-1989,male
Roberto BARZANTI,1135,Italy,Group for the European United Left,Socialist Group,Partito Comunista Italiano,1989-1994,07-1989,male
Virginio BETTINI,959,Italy,The Green Group in the European Parliament,None,Verdi Arcobaleno,1989-1994,10-1989,male
Vincenzo BETTIZA,977,Italy,Socialist Group,Group of the Party of European Socialists,Partito Socialista Italiano,1989-1994,07-1989,male
Rosaria BINDI,1115,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1989-1994,07-1989,female
Andrea BONETTI,1136,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1989-1994,07-1989,female
Rinaldo BONTEMPI,1020,Italy,Group for the European United Left,Socialist Group,Partito Comunista Italiano,1989-1994,07-1989,male
Franco BORGO,1012,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1989-1994,07-1989,male
Antonio CARIGLIA,1013,Italy,Socialist Group,Group of the Party of European Socialists,Partito Socialista Democratico Italiano,1989-1994,07-1989,male
Pierre CARNITI,1085,Italy,Socialist Group,Group of the Party of European Socialists,Partito Socialista Italiano,1989-1994,07-1989,male
Carlo CASINI,988,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1989-1994,07-1989,male
Maria Luisa CASSANMAGNAGO CERRETTI,949,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1989-1994,07-1989,female
Luciana CASTELLINA,947,Italy,Group for the European United Left,None,Partito Comunista Italiano,1989-1994,07-1989,female
Anna CATASTA,1116,Italy,Group for the European United Left,Socialist Group,Partito Comunista Italiano,1989-1994,07-1989,female
Adriana CECI,993,Italy,Group for the European United Left,Socialist Group,Partito Comunista Italiano,1989-1994,07-1989,female
Mauro CHIABRANDO,1014,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1989-1994,07-1989,male
Gaetano CINGARI,907,Italy,Group for the European United Left,Socialist Group,Partito Democratico Della Sinistra,1989-1994,06-1992,male
Luigi Alberto COLAJANNI,1137,Italy,Group for the European United Left,Socialist Group,Partito Comunista Italiano,1989-1994,07-1989,male
Emilio COLOMBO,968,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1989-1994,07-1989,male
Felice CONTU,1086,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1989-1994,07-1989,male
Maria Teresa COPPO GAVAZZI,1879,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1989-1994,05-1993,female
Francesco CORLEONE,996,Italy,The Green Group in the European Parliament,None,Verdi Arcobaleno,1989-1994,07-1989,male
Bettino CRAXI,1118,Italy,Socialist Group,None,Partito Socialista Italiano,1989-1994,07-1989,male
Joachim DALSASS,1087,Italy,Group of the European People's Party (Christian,None,Südtiroler Volkspartei,1989-1994,07-1989,male
Biagio DE GIOVANNI,1130,Italy,Group for the European United Left,Socialist Group,Partito Comunista Italiano,1989-1994,07-1989,male
Aldo DE MATTEO,1863,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1989-1994,03-1992,male
Cesare DE PICCOLI,1131,Italy,Group for the European United Left,Socialist Group,Partito Comunista Italiano,1989-1994,07-1989,male
Andrea Carmine DE SIMONE,2100,Italy,Group of the Party of European Socialists,None,Partito Democratico Della Sinistra,1989-1994,05-1994,female
Lorenzo DE VITTO,1088,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1989-1994,07-1989,male
Mario DIDO',1699,Italy,Socialist Group,Group of the Party of European Socialists,Partito Socialista Italiano,1989-1994,05-1992,male
Maurice DUVERGER,1015,Italy,Group for the European United Left,Socialist Group,Partito Comunista Italiano,1989-1994,07-1989,male
Enrico FALQUI,1132,Italy,The Green Group in the European Parliament,None,Verdi Europa,1989-1994,07-1989,male
Antonio FANTINI,1117,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1989-1994,07-1989,male
Giulio FANTUZZI,1109,Italy,Group for the European United Left,Socialist Group,Partito Comunista Italiano,1989-1994,07-1989,male
Gipo FARASSINO,2039,Italy,Non-attached Members,None,Lega Lombarda,1989-1994,05-1994,male
Giuliano FERRARA,989,Italy,Socialist Group,Group of the Party of European Socialists,Partito Socialista Italiano,1989-1994,07-1989,male
Enrico FERRI,990,Italy,Socialist Group,Group of the Party of European Socialists,Partito Socialista Democratico Italiano,1989-1994,07-1989,male
Gianfranco FINI,1007,Italy,Non-attached Members,None,Movimento Sociale Italiano - Destra Nazionale,1989-1994,07-1989,male
Arnaldo FORLANI,1008,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1989-1994,07-1989,male
Roberto FORMIGONI,1110,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1989-1994,07-1989,male
Mario FORTE,1111,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1989-1994,07-1989,male
Gerardo GAIBISSO,1009,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1989-1994,07-1989,male
Giulio Cesare GALLENZI,1112,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1989-1994,07-1989,male
Jas GAWRONSKI,1113,Italy,Liberal and Democratic Reformist Group,None,Polo Laico,1989-1994,07-1989,male
Giovanni GORIA,1104,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1989-1994,07-1989,male
Francesco GUIDOLIN,1089,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1989-1994,07-1989,male
